user_type,authenticated,effective_roles,effective_modules,feature_id,platform,platform_treatment,discover,view,create,edit,delete,archive,deactivate,import,export,submit,validate,approve,reject,assign,publish,report,administer
visitor,false,,,admin.courses,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,admin.courses,mobile,web-fallback,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,admin.users,web,available,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed
visitor,false,,,admin.users,mobile,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available
visitor,false,,,admin.roles,web,available,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed
visitor,false,,,admin.roles,mobile,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available
visitor,false,,,admin.system-status,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,admin.system-status,mobile,web-fallback,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,admin.activity,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,admin.activity,mobile,web-fallback,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,admin.logs,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,admin.logs,mobile,web-fallback,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,admin.diagnostics,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,admin.diagnostics,mobile,web-fallback,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,admin.brain,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,admin.brain,mobile,web-fallback,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,admin.calendar-integration,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,admin.calendar-integration,mobile,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available
visitor,false,,,admin.cms,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
